web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 wkts,5 wkts
"1721716639-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MW Short","2023-2024","9","4","5.0","0","69","2","1/13","34.50","13.80","15.0","0","0"
"1721716639-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","B Stanlake","2019-2019","2","2","8.0","0","42","2","2/23","21.00","5.25","24.0","0","0"
"1721716639-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","AJ Turner","2019-2023","14","3","7.0","0","40","1","1/16","40.00","5.71","42.0","0","0"
"1721716639-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","CJ Green","2023-2023","1","1","4.0","0","36","0","-","-","9.00","-","0","0"
"1721716639-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","TM Head","2022-2024","17","1","2.0","0","17","0","-","-","8.50","-","0","0"
"1721716639-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","AT Carey","2019-2021","19","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","TH David","2022-2024","32","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","AJ Finch","2019-2022","51","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","JP Inglis","2022-2024","21","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","M Labuschagne","2022-2022","1","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","BR McDermott","2019-2023","17","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-37","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","JR Philippe","2021-2023","12","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-38","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","DJM Short","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-39","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","SPD Smith","2019-2024","37","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-40","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MS Wade","2020-2024","66","-","-","-","-","-","-","-","-","-","-","-"
"1721716639-41","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","DA Warner","2019-2024","40","-","-","-","-","-","-","-","-","-","-","-"
