web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721716413-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","JA Richardson","2021-2022","9","5","3","32","11","16.00","45","71.11","0","0","0","1","1"
"1721716413-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","MJ Swepson","2020-2022","7","4","4","29","14*","-","19","152.63","0","0","0","1","2"
"1721716413-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","JR Hazlewood","2020-2024","44","9","6","27","13*","9.00","22","122.72","0","0","2","2","1"
"1721716413-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","AJ Tye","2020-2021","6","4","2","22","15","11.00","21","104.76","0","0","1","1","1"
"1721716413-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","NT Ellis","2021-2024","17","5","2","17","11*","5.66","34","50.00","0","0","1","0","0"
"1721716413-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","SA Abbott","2019-2024","12","5","2","16","12*","5.33","15","106.66","0","0","2","0","1"
"1721716413-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","KW Richardson","2019-2023","27","5","3","8","5","4.00","9","88.88","0","0","0","0","0"
"1721716413-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","JP Behrendorff","2021-2024","10","2","1","7","5","7.00","9","77.77","0","0","0","0","0"
"1721716413-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","CJ Green","2023-2023","1","1","1","2","2*","-","3","66.66","0","0","0","0","0"
"1721716413-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","M Labuschagne","2022-2022","1","1","0","2","2","2.00","4","50.00","0","0","0","0","0"
"1721716413-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","T Sangha","2023-2023","7","1","1","2","2*","-","4","50.00","0","0","0","0","0"
"1721716413-37","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","BJ Dwarshuis","2022-2023","3","3","1","1","1","0.50","5","20.00","0","0","1","0","0"
"1721716413-38","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","XC Bartlett","2024-2024","1","-","-","-","-","-","-","-","-","-","-","-","-"
"1721716413-39","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","SH Johnson","2023-2024","5","-","-","-","-","-","-","-","-","-","-","-","-"
"1721716413-40","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","RP Meredith","2021-2021","5","-","-","-","-","-","-","-","-","-","-","-","-"
"1721716413-41","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","B Stanlake","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-","-"
