web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721717835-11","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","GF Linde","2020-2021","14","14","48.0","0","340","15","3/23","22.66","7.08","19.2","0","0"
"1721717835-12","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","M Jansen","2022-2024","13","13","46.1","0","387","13","3/16","29.76","8.38","21.3","0","0"
"1721717835-13","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","AK Markram","2021-2024","46","23","47.0","2","375","12","3/21","31.25","7.97","23.5","0","0"
"1721717835-14","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","OEG Baartman","2024-2024","6","6","23.0","1","120","9","4/11","13.33","5.21","15.3","1","0"
"1721717835-15","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","BE Hendricks","2019-2021","9","9","34.0","0","324","9","3/32","36.00","9.52","22.6","0","0"
"1721717835-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","G Coetzee","2023-2024","6","6","20.2","1","207","8","3/32","25.87","10.18","15.2","0","0"
"1721717835-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","SSB Magala","2021-2023","6","6","20.0","0","226","6","3/21","37.66","11.30","20.0","0","0"
"1721717835-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","PWA Mulder","2021-2024","8","8","14.0","0","129","5","2/10","25.80","9.21","16.8","0","0"
"1721717835-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","N Peter","2024-2024","2","2","6.0","0","59","3","2/32","19.66","9.83","12.0","0","0"
"1721717835-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","DW Steyn","2020-2020","3","3","12.0","0","107","3","2/31","35.66","8.91","24.0","0","0"
"1721717835-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","N Burger","2023-2023","1","1","4.0","0","39","1","1/39","39.00","9.75","24.0","0","0"
"1721717835-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","L Sipamla","2020-2021","4","4","11.4","0","134","1","1/37","134.00","11.48","70.0","0","0"
"1721717835-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","CJ Dala","2021-2021","1","1","2.0","0","25","0","-","-","12.50","-","0","0"
"1721717835-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","RR Hendricks","2019-2024","48","3","4.5","0","58","0","-","-","12.00","-","0","0"
"1721717835-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","H Klaasen","2020-2024","43","1","1.0","0","14","0","-","-","14.00","-","0","0"
