web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721717286-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JC Archer","2020-2024","24","6","3","53","21","17.66","32","165.62","0","0","1","4","4"
"1721717286-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","L Gregory","2019-2021","9","7","1","45","15","7.50","41","109.75","0","0","1","2","2"
"1721717286-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","LA Dawson","2022-2022","5","3","0","40","34","13.33","28","142.85","0","0","0","6","1"
"1721717286-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","Rehan Ahmed","2023-2023","7","5","1","33","11","8.25","25","132.00","0","0","1","3","2"
"1721717286-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JL Denly","2020-2020","3","3","1","33","29*","16.50","25","132.00","0","0","0","4","0"
"1721717286-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","S Mahmood","2019-2022","12","7","4","22","7*","7.33","28","78.57","0","0","1","2","0"
"1721717286-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","RJW Topley","2022-2024","26","8","6","15","9","7.50","17","88.23","0","0","1","1","0"
"1721717286-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","AAP Atkinson","2023-2023","3","1","1","8","8*","-","10","80.00","0","0","0","0","0"
"1721717286-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","TS Mills","2021-2023","11","4","2","8","7","4.00","10","80.00","0","0","1","0","1"
"1721717286-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","MW Parkinson","2019-2022","6","4","0","5","5","1.25","11","45.45","0","0","3","1","0"
"1721717286-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","PR Brown","2019-2019","4","1","1","4","4*","-","9","44.44","0","0","0","0","0"
"1721717286-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","L Wood","2022-2023","5","1","0","3","3","3.00","4","75.00","0","0","0","0","0"
"1721717286-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","GHS Garton","2022-2022","1","1","0","2","2","2.00","4","50.00","0","0","0","0","0"
"1721717286-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","RJ Gleeson","2022-2022","6","2","0","2","2","1.00","4","50.00","0","0","1","0","0"
"1721717286-37","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","MA Wood","2020-2024","29","1","1","1","1*","-","1","100.00","0","0","0","0","0"
"1721717286-38","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","BA Carse","2023-2023","3","1","1","0","0*","-","1","0.00","0","0","0","0","0"
"1721717286-39","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","OP Stone","2022-2022","1","1","0","0","0","0.00","1","0.00","0","0","1","0","0"
