web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
1721719232-17,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Mohammad Haris,2022-2023,9,9,0,126,31,14,99,127.27,0,0,1,9,8
1721719232-18,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Usman Khan,2024-2024,10,9,1,117,38,14.62,91,128.57,0,0,0,11,3
1721719232-19,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Aamer Jamal,2022-2024,6,5,1,88,41,22,49,179.59,0,0,0,5,7
1721719232-20,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Azam Khan,2021-2024,14,13,3,88,30*,8.8,66,133.33,0,0,4,6,7
1721719232-21,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Haris Rauf,2020-2024,72,21,9,83,13*,6.91,65,127.69,0,0,4,6,5
1721719232-22,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Sarfaraz Ahmed,2019-2021,6,4,0,73,26,18.25,74,98.64,0,0,0,5,1
1721719232-23,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Haris Sohail,2019-2019,4,4,0,70,52,17.5,81,86.41,0,1,0,5,1
1721719232-24,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Hasan Ali,2021-2024,21,9,5,68,20*,17,34,200,0,0,2,4,6
1721719232-25,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Abdullah Shafique,2020-2023,6,6,1,64,41*,12.8,53,120.75,0,0,4,5,3
1721719232-26,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Sohaib Maqsood,2021-2021,6,4,0,52,19,13,33,157.57,0,0,0,5,3
1721719232-27,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Naseem Shah,2022-2024,28,9,4,51,16,10.2,43,118.6,0,0,2,4,3
1721719232-28,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Irfan Khan,2024-2024,3,2,2,48,30*,-,38,126.31,0,0,0,4,2
1721719232-29,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Mohammad Wasim (1),2021-2024,29,11,7,46,12*,11.5,53,86.79,0,0,1,5,1
1721719232-30,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Omair Yousuf,2023-2023,3,3,1,46,24,23,42,109.52,0,0,0,5,1
1721719232-31,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Sharjeel Khan,2021-2021,6,3,0,46,20,15.33,43,106.97,0,0,0,5,2
1721719232-32,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Abbas Afridi,2024-2024,10,5,1,41,17,10.25,36,113.88,0,0,0,1,4
1721719232-33,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Tayyab Tahir,2023-2023,3,3,0,39,16,13,41,95.12,0,0,0,5,0
1721719232-34,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Arafat Minhas,2023-2023,3,2,0,38,25,19,30,126.66,0,0,0,3,2
1721719232-35,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Danish Aziz,2021-2021,2,2,0,37,22,18.5,35,105.71,0,0,0,1,1
1721719232-36,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Ahsan Ali,2020-2020,2,2,0,36,36,18,39,92.3,0,0,1,4,0
